position COMBINED_rate.cM.Mb. Genetic_Map.cM.
4164 0 4164
4197 0 4197
4216 0 4216
4218 0 4218
4232 0 4232
4248 0 4248
4312 0 4312
4336 0 4336
4454 0 4454
4491 0 4491
4529 0 4529
4561 0 4561
4580 0 4580
4586 0 4586
4646 0 4646
4655 0 4655
4688 0 4688
4703 0 4703
4715 0 4715
4727 0 4727
4732 0 4732
4769 0 4769
4793 0 4793
4823 0 4823
4824 0 4824
4833 0 4833
4850 0 4850
4883 0 4883
4907 0 4907
4917 0 4917
4991 0 4991
5004 0 5004
5036 0 5036
5046 0 5046
5076 0 5076
5090 0 5090
5096 0 5096
5108 0 5108
5147 0 5147
5153 0 5153
5178 0 5178
5231 0 5231
5262 0 5262
5263 0 5263
5285 0 5285
5301 0 5301
5351 0 5351
5360 0 5360
5390 0 5390
5393 0 5393
5417 0 5417
5426 0 5426
5442 0 5442
5460 0 5460
5471 0 5471
5495 0 5495
5581 0 5581
5585 0 5585
5601 0 5601
5603 0 5603
5655 0 5655
5656 0 5656
5773 0 5773
5821 0 5821
5843 0 5843
5911 0 5911
5913 0 5913
5951 0 5951
5978 0 5978
5999 0 5999
6023 0 6023
6026 0 6026
6045 0 6045
6047 0 6047
6071 0 6071
6150 0 6150
6152 0 6152
6185 0 6185
6221 0 6221
6253 0 6253
6260 0 6260
6261 0 6261
6266 0 6266
6371 0 6371
6392 0 6392
6446 0 6446
6455 0 6455
6524 0 6524
6548 0 6548
6587 0 6587
6620 0 6620
6671 0 6671
6680 0 6680
6734 0 6734
6752 0 6752
6776 0 6776
6815 0 6815
6827 0 6827
6962 0 6962
6989 0 6989
7028 0 7028
7055 0 7055
7076 0 7076
7146 0 7146
7175 0 7175
7196 0 7196
7256 0 7256
7274 0 7274
7337 0 7337
7389 0 7389
7424 0 7424
7476 0 7476
7521 0 7521
7598 0 7598
7600 0 7600
7624 0 7624
7684 0 7684
7697 0 7697
7768 0 7768
7771 0 7771
7789 0 7789
7805 0 7805
7819 0 7819
7828 0 7828
7853 0 7853
7861 0 7861
7867 0 7867
7960 0 7960
7999 0 7999
8020 0 8020
8027 0 8027
8113 0 8113
8137 0 8137
8149 0 8149
8152 0 8152
8188 0 8188
8206 0 8206
8248 0 8248
8251 0 8251
8269 0 8269
8360 0 8360
8392 0 8392
8414 0 8414
8428 0 8428
8440 0 8440
8468 0 8468
8473 0 8473
8527 0 8527
8557 0 8557
8566 0 8566
8584 0 8584
8618 0 8618
8655 0 8655
8684 0 8684
8697 0 8697
8701 0 8701
8784 0 8784
8790 0 8790
8794 0 8794
8818 0 8818
8838 0 8838
8860 0 8860
8877 0 8877
8932 0 8932
8964 0 8964
8994 0 8994
9042 0 9042
9053 0 9053
9055 0 9055
9072 0 9072
9123 0 9123
9150 0 9150
9180 0 9180
9221 0 9221
9254 0 9254
9266 0 9266
9347 0 9347
9377 0 9377
9380 0 9380
9438 0 9438
9449 0 9449
9477 0 9477
9540 0 9540
9545 0 9545
9548 0 9548
9554 0 9554
9575 0 9575
9667 0 9667
9698 0 9698
9716 0 9716
9755 0 9755
9818 0 9818
9824 0 9824
9899 0 9899
9932 0 9932
9947 0 9947
9950 0 9950
9966 0 9966
10034 0 10034
10084 0 10084
10086 0 10086
10115 0 10115
10142 0 10142
10143 0 10143
10172 0 10172
10238 0 10238
10295 0 10295
10310 0 10310
10320 0 10320
10321 0 10321
10373 0 10373
10397 0 10397
10398 0 10398
10400 0 10400
10410 0 10410
10463 0 10463
10499 0 10499
10550 0 10550
10586 0 10586
10589 0 10589
10609 0 10609
10640 0 10640
10664 0 10664
10667 0 10667
10685 0 10685
10688 0 10688
10792 0 10792
10793 0 10793
10810 0 10810
10816 0 10816
10819 0 10819
10834 0 10834
10873 0 10873
10876 0 10876
10915 0 10915
11002 0 11002
11016 0 11016
11176 0 11176
11215 0 11215
11251 0 11251
11253 0 11253
11299 0 11299
11332 0 11332
11377 0 11377
11437 0 11437
11440 0 11440
11467 0 11467
11485 0 11485
11569 0 11569
11641 0 11641
11653 0 11653
11654 0 11654
11665 0 11665
11674 0 11674
11696 0 11696
11719 0 11719
11800 0 11800
11812 0 11812
11854 0 11854
11887 0 11887
11899 0 11899
11914 0 11914
11944 0 11944
11947 0 11947
11969 0 11969
12007 0 12007
12026 0 12026
12049 0 12049
12091 0 12091
12121 0 12121
12127 0 12127
12172 0 12172
12235 0 12235
12236 0 12236
12279 0 12279
12308 0 12308
12346 0 12346
12358 0 12358
12372 0 12372
12397 0 12397
12405 0 12405
12406 0 12406
12414 0 12414
12477 0 12477
12501 0 12501
12519 0 12519
12612 0 12612
12618 0 12618
12630 0 12630
12633 0 12633
12672 0 12672
12693 0 12693
12705 0 12705
12720 0 12720
12771 0 12771
12810 0 12810
12811 0 12811
12879 0 12879
12882 0 12882
12940 0 12940
13020 0 13020
13101 0 13101
13104 0 13104
13105 0 13105
13129 0 13129
13135 0 13135
13145 0 13145
13149 0 13149
13188 0 13188
13254 0 13254
13263 0 13263
13276 0 13276
13368 0 13368
13485 0 13485
13500 0 13500
13506 0 13506
13563 0 13563
13590 0 13590
13617 0 13617
13626 0 13626
13637 0 13637
13650 0 13650
13651 0 13651
13680 0 13680
13708 0 13708
13722 0 13722
13734 0 13734
13759 0 13759
13780 0 13780
13789 0 13789
13803 0 13803
13827 0 13827
13879 0 13879
13880 0 13880
13886 0 13886
13914 0 13914
13928 0 13928
13934 0 13934
13965 0 13965
13966 0 13966
14000 0 14000
14007 0 14007
14040 0 14040
14110 0 14110
14133 0 14133
14139 0 14139
14148 0 14148
14152 0 14152
14167 0 14167
14178 0 14178
14179 0 14179
14182 0 14182
14203 0 14203
14212 0 14212
14233 0 14233
14284 0 14284
14305 0 14305
14308 0 14308
14318 0 14318
14323 0 14323
14364 0 14364
14443 0 14443
14470 0 14470
14560 0 14560
14566 0 14566
14569 0 14569
14577 0 14577
14582 0 14582
14587 0 14587
14620 0 14620
14668 0 14668
14687 0 14687
14693 0 14693
14766 0 14766
14769 0 14769
14783 0 14783
14793 0 14793
14798 0 14798
14872 0 14872
14905 0 14905
14911 0 14911
15025 0 15025
15043 0 15043
15110 0 15110
15115 0 15115
15136 0 15136
15148 0 15148
15172 0 15172
15204 0 15204
15217 0 15217
15218 0 15218
15236 0 15236
15244 0 15244
15257 0 15257
15301 0 15301
15311 0 15311
15314 0 15314
15326 0 15326
15431 0 15431
15452 0 15452
15454 0 15454
15466 0 15466
15487 0 15487
15497 0 15497
15514 0 15514
15607 0 15607
15629 0 15629
15670 0 15670
15693 0 15693
15735 0 15735
15758 0 15758
15766 0 15766
15784 0 15784
15812 0 15812
15824 0 15824
15833 0 15833
15883 0 15883
15884 0 15884
15884 0 15884
15904 0 15904
15907 0 15907
15924 0 15924
15927 0 15927
15928 0 15928
15930 0 15930
15941 0 15941
15942 0 15942
15951 0 15951
16051 0 16051
16069 0 16069
16086 0 16086
16092 0 16092
16093 0 16093
16108 0 16108
16111 0 16111
16114 0 16114
16124 0 16124
16126 0 16126
16129 0 16129
16129 0 16129
16140 0 16140
16144 0 16144
16145 0 16145
16148 0 16148
16153 0 16153
16162 0 16162
16163 0 16163
16167 0 16167
16168 0 16168
16169 0 16169
16172 0 16172
16176 0 16176
16179 0 16179
16182 0 16182
16183 0 16183
16184 0 16184
16185 0 16185
16186 0 16186
16187 0 16187
16188 0 16188
16188 0 16188
16189 0 16189
16192 0 16192
16193 0 16193
16209 0 16209
16213 0 16213
16214 0 16214
16217 0 16217
16218 0 16218
16219 0 16219
16220 0 16220
16221 0 16221
16222 0 16222
16223 0 16223
16224 0 16224
16230 0 16230
16231 0 16231
16234 0 16234
16235 0 16235
16239 0 16239
16241 0 16241
16242 0 16242
16243 0 16243
16248 0 16248
16249 0 16249
16256 0 16256
16257 0 16257
16259 0 16259
16260 0 16260
16261 0 16261
16263 0 16263
16264 0 16264
16265 0 16265
16265 0 16265
16265 0 16265
16266 0 16266
16270 0 16270
16271 0 16271
16274 0 16274
16278 0 16278
16286 0 16286
16287 0 16287
16288 0 16288
16290 0 16290
16291 0 16291
16292 0 16292
16293 0 16293
16294 0 16294
16295 0 16295
16296 0 16296
16297 0 16297
16298 0 16298
16300 0 16300
16301 0 16301
16304 0 16304
16309 0 16309
16311 0 16311
16316 0 16316
16318 0 16318
16319 0 16319
16320 0 16320
16324 0 16324
16325 0 16325
16327 0 16327
16342 0 16342
16343 0 16343
16344 0 16344
16352 0 16352
16354 0 16354
16355 0 16355
16356 0 16356
16357 0 16357
16360 0 16360
16362 0 16362
16368 0 16368
16390 0 16390
16391 0 16391
16399 0 16399
16482 0 16482
16519 0 16519
16526 0 16526
16527 0 16527
