position COMBINED_rate.cM.Mb. Genetic_Map.cM.
6047 0 6047
6071 0 6071
6185 0 6185
6221 0 6221
6253 0 6253
6260 0 6260
6266 0 6266
6392 0 6392
6455 0 6455
6620 0 6620
6680 0 6680
6776 0 6776
6815 0 6815
6962 0 6962
7028 0 7028
7055 0 7055
7146 0 7146
7175 0 7175
7196 0 7196
7256 0 7256
7274 0 7274
7337 0 7337
7389 0 7389
7424 0 7424
7476 0 7476
7521 0 7521
7598 0 7598
7684 0 7684
7768 0 7768
7771 0 7771
7853 0 7853
8020 0 8020
8027 0 8027
8113 0 8113
8137 0 8137
8152 0 8152
8206 0 8206
8251 0 8251
8269 0 8269
8414 0 8414
8468 0 8468
8473 0 8473
8584 0 8584
8618 0 8618
8655 0 8655
8684 0 8684
8697 0 8697
8701 0 8701
8794 0 8794
8860 0 8860
8994 0 8994
9042 0 9042
9053 0 9053
9055 0 9055
9072 0 9072
9180 0 9180
9221 0 9221
9347 0 9347
9377 0 9377
9380 0 9380
9438 0 9438
9449 0 9449
9477 0 9477
9540 0 9540
9545 0 9545
9548 0 9548
9554 0 9554
9698 0 9698
9716 0 9716
9755 0 9755
9818 0 9818
9824 0 9824
9899 0 9899
9947 0 9947
9950 0 9950
10034 0 10034
10086 0 10086
10115 0 10115
10142 0 10142
10238 0 10238
10310 0 10310
10321 0 10321
10373 0 10373
10398 0 10398
10400 0 10400
10463 0 10463
10550 0 10550
10586 0 10586
10589 0 10589
10609 0 10609
10664 0 10664
10688 0 10688
10810 0 10810
10819 0 10819
10873 0 10873
10876 0 10876
10915 0 10915
11002 0 11002
11176 0 11176
11251 0 11251
11299 0 11299
11332 0 11332
11377 0 11377
11467 0 11467
11665 0 11665
11674 0 11674
11719 0 11719
11812 0 11812
11899 0 11899
11914 0 11914
11944 0 11944
11947 0 11947
11969 0 11969
12007 0 12007
12091 0 12091
12121 0 12121
12308 0 12308
12358 0 12358
12372 0 12372
12405 0 12405
12406 0 12406
12414 0 12414
12501 0 12501
12612 0 12612
12618 0 12618
12633 0 12633
12693 0 12693
12705 0 12705
12720 0 12720
12771 0 12771
12810 0 12810
12811 0 12811
12882 0 12882
13020 0 13020
13105 0 13105
13254 0 13254
13263 0 13263
13276 0 13276
13368 0 13368
13485 0 13485
13500 0 13500
13506 0 13506
13590 0 13590
13617 0 13617
13626 0 13626
13650 0 13650
13708 0 13708
13759 0 13759
13780 0 13780
13789 0 13789
13803 0 13803
13886 0 13886
13914 0 13914
13928 0 13928
13934 0 13934
13966 0 13966
14000 0 14000
14110 0 14110
14152 0 14152
14167 0 14167
14178 0 14178
14182 0 14182
14212 0 14212
14233 0 14233
14284 0 14284
14308 0 14308
14318 0 14318
14470 0 14470
14560 0 14560
14566 0 14566
14569 0 14569
14577 0 14577
14620 0 14620
14668 0 14668
14766 0 14766
14769 0 14769
14783 0 14783
14793 0 14793
14798 0 14798
14905 0 14905
14911 0 14911
15043 0 15043
15110 0 15110
15115 0 15115
15204 0 15204
15217 0 15217
15218 0 15218
15236 0 15236
15244 0 15244
15257 0 15257
15301 0 15301
15326 0 15326
15431 0 15431
15452 0 15452
15466 0 15466
15487 0 15487
15607 0 15607
15670 0 15670
15693 0 15693
15784 0 15784
15884 0 15884
15904 0 15904
15924 0 15924
15928 0 15928
15930 0 15930
15940 0 15940
15941 0 15941
15942 0 15942
16051 0 16051
16069 0 16069
16086 0 16086
16092 0 16092
16093 0 16093
16111 0 16111
16124 0 16124
16126 0 16126
16129 0 16129
16145 0 16145
16148 0 16148
16162 0 16162
16163 0 16163
16168 0 16168
16172 0 16172
16182 0 16182
16183 0 16183
16183 0 16183
16185 0 16185
16186 0 16186
16187 0 16187
16189 0 16189
16192 0 16192
16193 0 16193
16209 0 16209
16213 0 16213
16223 0 16223
16224 0 16224
16230 0 16230
16234 0 16234
16239 0 16239
16243 0 16243
16249 0 16249
16256 0 16256
16260 0 16260
16261 0 16261
16263 0 16263
16264 0 16264
16265 0 16265
16266 0 16266
16270 0 16270
16274 0 16274
16278 0 16278
16290 0 16290
16291 0 16291
16292 0 16292
16293 0 16293
16294 0 16294
16295 0 16295
16296 0 16296
16297 0 16297
16298 0 16298
16304 0 16304
16309 0 16309
16311 0 16311
16318 0 16318
16319 0 16319
16320 0 16320
16325 0 16325
16327 0 16327
16343 0 16343
16355 0 16355
16356 0 16356
16357 0 16357
16360 0 16360
16362 0 16362
16390 0 16390
16391 0 16391
16399 0 16399
16519 0 16519
16526 0 16526
16527 0 16527
